Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;L1L2_1X;L1L2_1Y;L1L2_2X;L1L2_2Y;FRL2_X;FRL2_Y;CHSS_1X;CHSS_1Y;CHSS_2X;CHSS_2Y;MBL1_1X;MBL1_1Y;MBL1_2X;MBL1_2Y;L3FR_X;L3FR_Y;
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;0.0;94.4;38.2;282.3;-38.2;-282.3;156.4;-28.4;-156.4;28.4;156.4;-28.4;190.4;116.8;-190.4;-116.8;-228.7;-399.2;-190.4;-22.5;190.4;22.5;34.0;50.9;-34.0;-50.9;34.0;50.9;
20;0.0;199.5;86.2;574.3;-86.2;-574.3;337.3;-72.6;-337.3;72.6;337.3;-72.6;401.9;238.7;-401.9;-238.7;-488.1;-813.0;-401.9;-39.1;401.9;39.1;64.5;111.7;-64.5;-111.7;64.5;111.7;
30;0.0;315.2;143.3;875.5;-143.3;-875.5;544.3;-133.1;-544.3;133.1;544.3;-133.1;634.5;364.0;-634.5;-364.0;-777.8;-1239.5;-634.5;-48.8;634.5;48.8;90.1;181.9;-90.1;-181.9;90.1;181.9;
40;0.0;441.3;208.6;1185.4;-208.6;-1185.4;779.1;-210.2;-779.1;210.2;779.1;-210.2;888.4;491.6;-888.4;-491.6;-1097.0;-1677.0;-888.4;-50.3;888.4;50.3;109.2;260.5;-109.2;-260.5;109.2;260.5;
50;0.0;577.6;281.4;1503.8;-281.4;-1503.8;1043.5;-303.9;-1043.5;303.9;1043.5;-303.9;1163.7;619.8;-1163.7;-619.8;-1445.1;-2123.6;-1163.7;-42.2;1163.7;42.2;120.2;346.1;-120.2;-346.1;120.2;346.1;
60;0.0;723.9;360.5;1830.4;-360.5;-1830.4;1339.3;-413.4;-1339.3;413.4;1339.3;-413.4;1460.6;747.1;-1460.6;-747.1;-1821.0;-2577.5;-1460.6;-23.2;1460.6;23.2;121.3;436.5;-121.3;-436.5;121.3;436.5;
70;0.0;880.1;444.7;2165.0;-444.7;-2165.0;1667.8;-536.6;-1667.8;536.6;1667.8;-536.6;1778.7;871.9;-1778.7;-871.9;-2223.4;-3036.9;-1778.7;8.2;1778.7;-8.2;110.9;528.4;-110.9;-528.4;110.9;528.4;
80;0.0;1045.9;532.8;2507.7;-532.8;-2507.7;2029.8;-670.3;-2029.8;670.3;2029.8;-670.3;2117.5;992.2;-2117.5;-992.2;-2650.3;-3499.8;-2117.5;53.7;2117.5;-53.7;87.7;616.6;-87.7;-616.6;87.7;616.6;
90;0.0;1221.1;622.8;2858.4;-622.8;-2858.4;2425.0;-809.1;-2425.0;809.1;2425.0;-809.1;2476.1;1105.9;-2476.1;-1105.9;-3099.0;-3964.3;-2476.1;115.1;2476.1;-115.1;51.2;693.9;-51.2;-693.9;51.2;693.9;
100;0.0;1405.7;712.9;3217.4;-712.9;-3217.4;2850.5;-945.1;-2850.5;945.1;2850.5;-945.1;2853.0;1210.8;-2853.0;-1210.8;-3565.9;-4428.2;-2853.0;194.9;2853.0;-194.9;2.5;750.2;-2.5;-750.2;2.5;750.2;
110;0.0;1599.9;800.5;3585.1;-800.5;-3585.1;3300.0;-1067.2;-3300.0;1067.2;3300.0;-1067.2;3245.9;1304.2;-3245.9;-1304.2;-4046.3;-4889.2;-3245.9;295.7;3245.9;-295.7;-54.1;771.5;54.1;-771.5;-54.1;771.5;
120;0.0;1804.4;882.5;3962.0;-882.5;-3962.0;3760.7;-1160.3;-3760.7;1160.3;3760.7;-1160.3;3651.1;1383.0;-3651.1;-1383.0;-4533.6;-5345.1;-3651.1;421.4;3651.1;-421.4;-109.6;739.0;109.6;-739.0;-109.6;739.0;
130;0.0;2020.7;955.0;4349.3;-955.0;-4349.3;4210.2;-1205.4;-4210.2;1205.4;4210.2;-1205.4;4063.7;1443.9;-4063.7;-1443.9;-5018.7;-5793.2;-4063.7;576.7;4063.7;-576.7;-146.5;628.7;146.5;-628.7;-146.5;628.7;
140;0.0;2251.0;1012.9;4748.1;-1012.9;-4748.1;4610.3;-1180.0;-4610.3;1180.0;4610.3;-1180.0;4475.8;1482.7;-4475.8;-1482.7;-5488.7;-6230.8;-4475.8;768.3;4475.8;-768.3;-134.6;411.7;134.6;-411.7;-134.6;411.7;
150;0.0;2498.2;1049.2;5160.5;-1049.2;-5160.5;4899.8;-1061.7;-4899.8;1061.7;4899.8;-1061.7;4874.9;1494.1;-4874.9;-1494.1;-5924.1;-6654.6;-4874.9;1004.1;4874.9;-1004.1;-24.9;57.5;24.9;-57.5;-24.9;57.5;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at First link fix pivot on Frame
SWL1_1 = force at Swingarm/Link pivot on Frame
SWL1_2 = force at Swingarm/Link pivot on Frame
L1L2_1 = force at Rear bar/Rocker pivot on Frame
L1L2_2 = force at Rear bar/Rocker pivot on Frame
FRL2 = force at Pivot Frame - Link 2 on Frame
CHSS_1 = force at Pivot Chainstay - Seatstay on Frame
CHSS_2 = force at Pivot Chainstay - Seatstay on Frame
MBL1_1 = force at Pivot Middle bar - Link 1 on Frame
MBL1_2 = force at Pivot Middle bar - Link 1 on Frame
L3FR = force at Pivot Link 3 - Frame on Frame
