Travel;RW_X;RW_Y;BB_X;BB_Y;FW_X;FW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_X;SWL1_Y;L1L2_X;L1L2_Y;FRL2_X;FRL2_Y;CG_X;CG_Y;CGAR_X;CGAR_Y;
0;0.0;0.0;438.4;23.4;1092.2;0.0;474.8;120.3;418.9;309.9;402.3;43.8;7.4;59.3;175.9;325.0;356.6;269.6;382.3;623.4;382.3;623.4;
10;-1.0;10.0;438.4;23.4;1092.2;0.0;474.8;120.3;420.7;307.0;402.3;43.8;7.9;69.1;178.7;333.4;356.6;269.6;382.3;623.4;382.3;623.4;
20;-1.7;20.0;438.4;23.4;1092.2;0.0;474.8;120.3;422.4;303.9;402.3;43.8;8.6;78.9;181.8;341.6;356.6;269.6;382.3;623.4;382.3;623.4;
30;-2.1;30.0;438.4;23.4;1092.2;0.0;474.8;120.3;423.9;300.8;402.3;43.8;9.6;88.6;185.4;349.6;356.6;269.6;382.3;623.4;382.3;623.4;
40;-2.4;40.0;438.4;23.4;1092.2;0.0;474.8;120.3;425.3;297.7;402.3;43.8;10.9;98.3;189.3;357.5;356.6;269.6;382.3;623.4;382.3;623.4;
50;-2.3;50.0;438.4;23.4;1092.2;0.0;474.8;120.3;426.5;294.5;402.3;43.8;12.3;107.9;193.5;365.2;356.6;269.6;382.3;623.4;382.3;623.4;
60;-2.1;60.0;438.4;23.4;1092.2;0.0;474.8;120.3;427.6;291.2;402.3;43.8;14.0;117.5;198.2;372.7;356.6;269.6;382.3;623.4;382.3;623.4;
70;-1.5;70.0;438.4;23.4;1092.2;0.0;474.8;120.3;428.5;287.8;402.3;43.8;16.0;127.1;203.2;380.0;356.6;269.6;382.3;623.4;382.3;623.4;
80;-0.8;80.0;438.4;23.4;1092.2;0.0;474.8;120.3;429.3;284.4;402.3;43.8;18.2;136.7;208.6;387.1;356.6;269.6;382.3;623.4;382.3;623.4;
90;0.3;90.0;438.4;23.4;1092.2;0.0;474.8;120.3;429.9;280.9;402.3;43.8;20.6;146.2;214.4;394.1;356.6;269.6;382.3;623.4;382.3;623.4;
100;1.5;100.0;438.4;23.4;1092.2;0.0;474.8;120.3;430.4;277.3;402.3;43.8;23.3;155.7;220.6;400.8;356.6;269.6;382.3;623.4;382.3;623.4;
110;3.1;110.0;438.4;23.4;1092.2;0.0;474.8;120.3;430.7;273.7;402.3;43.8;26.2;165.1;227.1;407.2;356.6;269.6;382.3;623.4;382.3;623.4;
120;4.9;120.0;438.4;23.4;1092.2;0.0;474.8;120.3;430.8;270.1;402.3;43.8;29.3;174.5;234.1;413.5;356.6;269.6;382.3;623.4;382.3;623.4;
130;6.9;130.0;438.4;23.4;1092.2;0.0;474.8;120.3;430.7;266.4;402.3;43.8;32.8;183.9;241.4;419.4;356.6;269.6;382.3;623.4;382.3;623.4;
140;9.2;140.0;438.4;23.4;1092.2;0.0;474.8;120.3;430.5;262.6;402.3;43.8;36.4;193.2;249.1;425.1;356.6;269.6;382.3;623.4;382.3;623.4;
150;11.8;150.0;438.4;23.4;1092.2;0.0;474.8;120.3;430.0;258.8;402.3;43.8;40.4;202.5;257.3;430.4;356.6;269.6;382.3;623.4;382.3;623.4;

RW = Rear Axle
BB = Bottom bracket
FW = Front Axle
SHK1 = Shock eye 1
SHK2 = Shock eye 2
L1FR = First link fix pivot
SWL1 = Swingarm/Link pivot
L1L2 = Link/Rocker pivot
FRL2 = Rocker fix pivot
CG = Center of Gravity
CGAR = Anti-rise Center of Gravity
