Travel;Shock_curve;Gradient;
0;0.000;87.672;
1;87.672;87.672;
2;175.344;87.672;
3;263.016;87.672;
4;350.688;87.672;
5;438.360;87.672;
6;526.032;87.672;
7;613.704;87.672;
8;701.376;87.672;
9;789.048;87.672;
10;876.720;87.672;
11;964.393;87.672;
12;1052.065;87.672;
13;1139.737;87.672;
14;1227.409;87.672;
15;1315.081;87.672;
16;1402.753;87.672;
17;1490.425;87.672;
18;1578.097;87.672;
19;1665.769;87.672;
20;1753.441;87.672;
21;1841.113;87.672;
22;1928.785;87.672;
23;2016.457;87.672;
24;2104.129;87.672;
25;2191.801;87.672;
26;2279.473;87.672;
27;2367.145;87.672;
28;2454.817;87.672;
29;2542.489;87.672;
30;2630.161;87.672;
31;2717.833;87.672;
32;2805.506;87.672;
33;2893.178;87.672;
34;2980.850;87.672;
35;3068.522;87.672;
36;3156.194;87.672;
37;3243.866;87.672;
38;3331.538;87.672;
39;3419.210;87.672;
40;3506.882;87.672;
41;3594.554;87.672;
42;3682.226;87.672;
43;3769.898;87.672;
44;3857.570;87.672;
45;3945.242;87.672;
46;4032.914;87.672;
47;4120.586;87.672;
48;4208.258;87.672;
49;4295.930;87.672;
50;4383.602;87.672;
51;4471.274;87.672;
52;4558.946;87.672;
53;4646.619;87.672;
54;4734.291;87.672;
55;4821.963;87.672;
56;4909.635;87.672;
57;4997.307;87.672;
58;5084.979;87.672;
59;5172.651;87.672;
60;5260.323;87.672;
61;5347.995;87.672;
62;5435.667;87.672;
63;5523.339;87.672;
64;5611.011;87.672;
65;5698.683;87.672;
