Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;MPFR_X;MPFR_Y;
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;0.0;158.0;-385.0;-310.7;385.0;310.7;329.8;89.7;-329.8;-89.7;329.8;89.7;55.2;63.0;
20;0.0;284.4;-686.2;-546.3;686.2;546.3;567.6;130.7;-567.6;-130.7;567.6;130.7;118.6;131.2;
30;0.0;392.7;-938.1;-736.6;938.1;736.6;749.3;141.8;-749.3;-141.8;749.3;141.8;188.8;202.1;
40;0.0;490.4;-1160.2;-898.8;1160.2;898.8;895.0;133.4;-895.0;-133.4;895.0;133.4;265.2;274.9;
50;0.0;582.7;-1364.9;-1043.3;1364.9;1043.3;1016.9;111.2;-1016.9;-111.2;1016.9;111.2;348.1;349.4;
60;0.0;673.0;-1560.7;-1177.3;1560.7;1177.3;1122.9;78.6;-1122.9;-78.6;1122.9;78.6;437.8;425.7;
70;0.0;763.9;-1753.9;-1305.7;1753.9;1305.7;1218.4;37.5;-1218.4;-37.5;1218.4;37.5;535.5;504.3;
80;0.0;857.9;-1949.7;-1432.8;1949.7;1432.8;1307.5;-10.9;-1307.5;10.9;1307.5;-10.9;642.2;585.7;
90;0.0;957.2;-2153.0;-1562.0;2153.0;1562.0;1393.3;-66.2;-1393.3;66.2;1393.3;-66.2;759.6;671.0;
100;0.0;1064.0;-2368.4;-1696.7;2368.4;1696.7;1478.5;-128.4;-1478.5;128.4;1478.5;-128.4;889.9;761.2;
110;0.0;1181.0;-2601.3;-1840.4;2601.3;1840.4;1565.7;-198.2;-1565.7;198.2;1565.7;-198.2;1035.7;857.6;
120;0.0;1311.4;-2857.7;-1997.0;2857.7;1997.0;1657.2;-276.5;-1657.2;276.5;1657.2;-276.5;1200.5;962.1;
130;0.0;1459.0;-3145.0;-2171.2;3145.0;2171.2;1756.1;-364.9;-1756.1;364.9;1756.1;-364.9;1388.9;1077.1;
140;0.0;1629.0;-3472.8;-2369.1;3472.8;2369.1;1865.6;-465.6;-1865.6;465.6;1865.6;-465.6;1607.3;1205.7;
150;0.0;1828.2;-3854.1;-2598.5;3854.1;2598.5;1990.0;-581.8;-1990.0;581.8;1990.0;-581.8;1864.1;1352.0;
160;0.0;2066.4;-4306.7;-2870.5;4306.7;2870.5;2135.1;-718.2;-2135.1;718.2;2135.1;-718.2;2171.6;1522.2;
170;0.0;2357.7;-4856.8;-3201.0;4856.8;3201.0;2309.1;-881.7;-2309.1;881.7;2309.1;-881.7;2547.7;1725.1;
180;0.0;2723.4;-5544.2;-3614.2;5544.2;3614.2;2524.5;-1083.0;-2524.5;1083.0;2524.5;-1083.0;3019.7;1973.8;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at Link fix pivot on Frame
SWL1_1 = force at Strut/Link pivot on Frame
SWL1_2 = force at Strut/Link pivot on Frame
MPFR = force at Strut/Frame pivot on Frame
